OrgNo;FirmaNavn;Status;AntallAnsatte;OrganisasjonsformKode;Naeringskode
948155184;NORD NORSK SPEDISJON AS;Aktiv;;AS;52.291
915664466;BIO DRIFT AS;Aktiv;;AS;71.129
915717888;CLARIFY AS;Aktiv;;AS;62.010
947857169;TANDEM AS;Aktiv;30;AS;69.201
967708933;JEK REGNSKAP AS;Aktiv;9;AS;69.201
925808571;HALSTEINSLID AS;Aktiv;6;AS;69.201
913981960;BRØDRENE STORMO AS;Aktiv;;AS;41.200
862655222;JENS ARNE HAGEN STATSAUT REVISOR;Aktiv;;ENK;69.202
996160394;ÅFJORD UTVIKLING AS;Aktiv;;AS;41.109
995992345;FRYD FRISØR AS;Aktiv;;AS;96.020
919732873;KURSJENTENE AS;Aktiv;;AS;85.599
815822102;TELLUS TRADING AS;Aktiv;;AS;73.110
985394717;ANLEGGSSERVICE AS;Aktiv;13;AS;43.120
940426987;UNGE KUNSTNERES SAMFUND;Aktiv;27;FLI;94.991
994056689;EVER TRONDHEIM AS;Aktiv;13;AS;69.201
986442715;SØRBY GARTNERI AS;Aktiv;27;AS;01.130
943785805;VEST-TELEMARK REKNESKAPSSERVICE AS;Aktiv;9;AS;69.201
981241150;ODAL ØKONOMI AS;Aktiv;38;AS;69.201
969239612;MAMEN HANS TORER DØDSBO;Slettet;;ENK;
980906965;ECHAS REVISJON AS;Aktiv;10;AS;69.202
987628065;PREMIO AS;Aktiv;;AS;69.201
976431189;SALTENPOSTEN AS;Aktiv;9;AS;58.130
891324472;RØMBY AS;Slettet;;AS;
952617443;ENIMENTE AS;Aktiv;6;AS;69.201
971435216;NY MUSIKK;Aktiv;5;FLI;90.020
995967758;DET ANDRE TEATRET AS;Aktiv;23;AS;90.040
988791369;TARAN AS;Aktiv;6;AS;90.020
911648733;BEDRE ØKONOMITJENESTER AS;Aktiv;11;AS;69.201
957771823;NICO HÅNDVERK MALERMESTER STEN YTTERVIK AS;Aktiv;11;AS;43.341
816073502;IPROSESS AS;Aktiv;;AS;70.220
997291212;JRP DISTRIBUSJON AS;Aktiv;;AS;49.410
890419062;MØRETRAPP AS;Aktiv;;AS;43.320
916573065;ITEAM 2 AS;Aktiv;47;AS;62.030
960896998;LYNGHEIA BARNEHAGE AS;Aktiv;30;AS;88.911
974379511;DIBKUNNSKAP AS;Aktiv;45;AS;58.290
959264848;MASKINHOLDER ARILD SKARSEM;Aktiv;;ENK;43.120
989996223;BYGGMESTER LILJEBAKK AS;Aktiv;33;AS;41.200
